Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
BTN,2022,EJ Events,0.8401700252183226,0.0159030670200681,%,Estimated,Asia,Southern Asia,Kingdom of Bhutan
BWA,2007,EJ Events,0.9749361541268231,0.0024772914946325,%,EJ Atlas,Africa,Southern Africa,Republic of Botswana
BWA,2012,EJ Events,0.9841678021339545,0.0015641293013555,%,EJ Atlas,Africa,Southern Africa,Republic of Botswana
BWA,2017,EJ Events,0.9873349024478105,0.0012510425354462,%,EJ Atlas,Africa,Southern Africa,Republic of Botswana
BWA,2022,EJ Events,0.9884995644723238,0.0011359333585762,%,EJ Atlas,Africa,Southern Africa,Republic of Botswana
CAF,2007,EJ Events,0.9820909272595275,0.0017694939247374713,%,Estimated,Africa,Middle Africa,Central African Republic
CAF,2012,EJ Events,0.9811549488519926,0.0018620586920899001,%,Estimated,Africa,Middle Africa,Central African Republic
CAF,2017,EJ Events,0.9831167196374934,0.0016680567139282286,%,Estimated,Africa,Middle Africa,Central African Republic
CAF,2022,EJ Events,0.983027752168044,0.0016768540055173285,%,Estimated,Africa,Middle Africa,Central African Republic
CAN,2007,EJ Events,0.8670370952172962,0.0132122213047068,%,EJ Atlas,America,Northern America,Canada
CAN,2012,EJ Events,0.842780612335346,0.0156412930135557,%,EJ Atlas,America,Northern America,Canada
CAN,2017,EJ Events,0.8199628029574433,0.0179316096747289,%,EJ Atlas,America,Northern America,Canada
CAN,2022,EJ Events,0.7987232035531271,0.0200681560015145,%,EJ Atlas,America,Northern America,Canada
CHE,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Europe,Western Europe,Swiss Confederation
CHE,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Europe,Western Europe,Swiss Confederation
CHE,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Europe,Western Europe,Swiss Confederation
CHE,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Europe,Western Europe,Swiss Confederation
CHL,2007,EJ Events,0.8505387758169868,0.0148637489677952,%,EJ Atlas,America,South America,Republic of Chile
CHL,2012,EJ Events,0.8636027489011416,0.013555787278415,%,EJ Atlas,America,South America,Republic of Chile
CHL,2017,EJ Events,0.8532167216100978,0.0145954962468723,%,EJ Atlas,America,South America,Republic of Chile
CHL,2022,EJ Events,0.8515031972442911,0.0147671336614918,%,EJ Atlas,America,South America,Republic of Chile
CHN,2007,EJ Events,0.8505387758169868,0.0148637489677952,%,EJ Atlas,Asia,Eastern Asia,People's Republic of China
CHN,2012,EJ Events,0.7238768664307499,0.0276329509906152,%,EJ Atlas,Asia,Eastern Asia,People's Republic of China
CHN,2017,EJ Events,0.6757469014555184,0.0325271059216013,%,EJ Atlas,Asia,Eastern Asia,People's Republic of China
CHN,2022,EJ Events,0.6791059804892469,0.032184778492995,%,EJ Atlas,Asia,Eastern Asia,People's Republic of China
CIV,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Africa,Western Africa,Republic of Côte d'Ivoire
CMR,2007,EJ Events,0.9665953007345498,0.0033030553261767,%,EJ Atlas,Africa,Middle Africa,Republic of Cameroon
CMR,2012,EJ Events,0.9525774463683784,0.0046923879040667,%,EJ Atlas,Africa,Middle Africa,Republic of Cameroon
CMR,2017,EJ Events,0.9620521126031615,0.0037531276063386,%,EJ Atlas,Africa,Middle Africa,Republic of Cameroon
CMR,2022,EJ Events,0.9655377884014673,0.0034078000757288,%,EJ Atlas,Africa,Middle Africa,Republic of Cameroon
COD,2007,EJ Events,0.9499341688986925,0.004954582989265,%,EJ Atlas,Africa,Middle Africa,Democratic Republic of the Congo
COD,2012,EJ Events,0.9525774463683784,0.0046923879040667,%,EJ Atlas,Africa,Middle Africa,Democratic Republic of the Congo
COD,2017,EJ Events,0.9536385192020487,0.0045871559633027,%,EJ Atlas,Africa,Middle Africa,Democratic Republic of the Congo
COD,2022,EJ Events,0.9578954146911112,0.0041650889814464,%,EJ Atlas,Africa,Middle Africa,Democratic Republic of the Congo
COG,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Africa,Middle Africa,Republic of the Congo
COG,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Africa,Middle Africa,Republic of the Congo
COG,2017,EJ Events,0.9915548424682641,0.0008340283569641,%,EJ Atlas,Africa,Middle Africa,Republic of the Congo
COG,2022,EJ Events,0.9884995644723238,0.0011359333585762,%,EJ Atlas,Africa,Middle Africa,Republic of the Congo
COL,2007,EJ Events,0.5260926008186405,0.0478943022295623,%,EJ Atlas,America,South America,Republic of Colombia
COL,2012,EJ Events,0.4701069355285294,0.0537017726798748,%,EJ Atlas,America,South America,Republic of Colombia
COL,2017,EJ Events,0.5416270390468526,0.0462885738115095,%,EJ Atlas,America,South America,Republic of Colombia
COL,2022,EJ Events,0.5719095741107447,0.0431654676258992,%,EJ Atlas,America,South America,Republic of Colombia
COM,2007,EJ Events,0.9710856760801055,0.002858413263037492,%,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2012,EJ Events,0.9626918369211028,0.003689740916018238,%,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2017,EJ Events,0.9669092894216198,0.0032719574003977157,%,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2022,EJ Events,0.9681845693560778,0.0031456616083650767,%,Estimated,Africa,Eastern Africa,Union of the Comoros
