Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
DOM,2012,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Dominican Republic
DOM,2017,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Dominican Republic
DOM,2022,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Dominican Republic
DZA,2007,Protected Forests,0.5179082802083875,9.79,%,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2012,Protected Forests,0.5179082802083875,9.79,%,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2017,Protected Forests,0.5006986975496904,8.969999999999999,%,Food and Agriculture Organization (FAO),Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2022,Protected Forests,0.5006986975496904,8.969999999999999,%,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
ECU,2007,Protected Forests,0.7808004043460354,35.09,%,Estimated,America,South America,Republic of Ecuador
ECU,2012,Protected Forests,0.7808004043460354,35.09,%,Estimated,America,South America,Republic of Ecuador
ECU,2017,Protected Forests,0.7801660049227861,34.985,%,Food and Agriculture Organization (FAO),America,South America,Republic of Ecuador
ECU,2022,Protected Forests,0.7801660049227861,34.985,%,Estimated,America,South America,Republic of Ecuador
EGY,2007,Protected Forests,0.7263130911085472,27.1,%,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2012,Protected Forests,0.7263130911085472,27.1,%,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2017,Protected Forests,0.7195751923464043,26.24375,%,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2022,Protected Forests,0.7195751923464043,26.24375,%,Estimated,Africa,Northern Africa,Arab Republic of Egypt
ERI,2007,Protected Forests,0.7293821770397868,27.49888888888889,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2012,Protected Forests,0.7293821770397868,27.49888888888889,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2017,Protected Forests,0.7245235865956379,26.869999999999997,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2022,Protected Forests,0.7245235865956379,26.869999999999997,%,Estimated,Africa,Eastern Africa,State of Eritrea
ESP,2007,Protected Forests,0.7854560953430372,35.870000000000005,%,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2012,Protected Forests,0.7854560953430372,35.870000000000005,%,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2017,Protected Forests,0.7854560953430372,35.870000000000005,%,Food and Agriculture Organization (FAO),Europe,Southern Europe,Kingdom of Spain
ESP,2022,Protected Forests,0.7854560953430372,35.870000000000005,%,Estimated,Europe,Southern Europe,Kingdom of Spain
EST,2007,Protected Forests,0.8378473238444758,45.9,%,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2012,Protected Forests,0.8378473238444758,45.9,%,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2017,Protected Forests,0.8355370568139373,45.404999999999994,%,Food and Agriculture Organization (FAO),Europe,Northern Europe,Republic of Estonia
EST,2022,Protected Forests,0.8355370568139373,45.404999999999994,%,Estimated,Europe,Northern Europe,Republic of Estonia
ETH,2007,Protected Forests,0.6650649894966918,20.21,%,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2012,Protected Forests,0.6650649894966918,20.21,%,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2017,Protected Forests,0.6650649894966918,20.21,%,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2022,Protected Forests,0.6650649894966918,20.21,%,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
FIN,2007,Protected Forests,0.8815128808784612,56.315,%,Estimated,Europe,Northern Europe,Republic of Finland
FIN,2012,Protected Forests,0.8815128808784612,56.315,%,Estimated,Europe,Northern Europe,Republic of Finland
FIN,2017,Protected Forests,0.8815128808784612,56.315,%,Food and Agriculture Organization (FAO),Europe,Northern Europe,Republic of Finland
