Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
DEU,2017,Education Index,0.93098795880072,0.9569577218888888,,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2022,Education Index,0.93098795880072,0.9569577218888888,,United Nations Development Programme (UNDP),Europe,Western Europe,Federal Republic of Germany
DJI,2007,Education Index,0.14154947118031033,0.3526765374777777,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2012,Education Index,0.14154947118031033,0.3526765374777777,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2017,Education Index,0.14154947118031033,0.3526765374777777,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2022,Education Index,0.14154947118031033,0.3526765374777777,,United Nations Development Programme (UNDP),Africa,Eastern Africa,Republic of Djibouti
DMA,2007,Education Index,0.5725825392231727,0.6826137991666668,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2012,Education Index,0.5725825392231727,0.6826137991666668,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2017,Education Index,0.5725825392231727,0.6826137991666668,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2022,Education Index,0.5725825392231727,0.6826137991666668,,United Nations Development Programme (UNDP),America,Caribbean,Commonwealth of Dominica
DNK,2007,Education Index,0.9264932209237061,0.9535171935,,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2012,Education Index,0.9264932209237061,0.9535171935,,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2017,Education Index,0.9264932209237061,0.9535171935,,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2022,Education Index,0.9264932209237061,0.9535171935,,United Nations Development Programme (UNDP),Europe,Northern Europe,Kingdom of Denmark
DOM,2007,Education Index,0.5712588767164023,0.6816005924888889,,Estimated,America,Caribbean,Dominican Republic
DOM,2012,Education Index,0.5712588767164023,0.6816005924888889,,Estimated,America,Caribbean,Dominican Republic
DOM,2017,Education Index,0.5712588767164023,0.6816005924888889,,Estimated,America,Caribbean,Dominican Republic
DOM,2022,Education Index,0.5712588767164023,0.6816005924888889,,United Nations Development Programme (UNDP),America,Caribbean,Dominican Republic
DZA,2007,Education Index,0.5471335181537914,0.6631336688777778,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2012,Education Index,0.5471335181537914,0.6631336688777778,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2017,Education Index,0.5471335181537914,0.6631336688777778,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2022,Education Index,0.5471335181537914,0.6631336688777778,,United Nations Development Programme (UNDP),Africa,Northern Africa,People's Democratic Republic of Algeria
ECU,2007,Education Index,0.6108473826308567,0.7119038898555555,,Estimated,America,South America,Republic of Ecuador
ECU,2012,Education Index,0.6108473826308567,0.7119038898555555,,Estimated,America,South America,Republic of Ecuador
ECU,2017,Education Index,0.6108473826308567,0.7119038898555555,,Estimated,America,South America,Republic of Ecuador
ECU,2022,Education Index,0.6108473826308567,0.7119038898555555,,United Nations Development Programme (UNDP),America,South America,Republic of Ecuador
EGY,2007,Education Index,0.5782231727210215,0.6869314613333333,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2012,Education Index,0.5782231727210215,0.6869314613333333,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
