Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
CHN,2022,Basel,0.0,0.0,,Estimated,Asia,Eastern Asia,People's Republic of China
CIV,2007,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2012,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2017,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CIV,2022,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Côte d'Ivoire
CMR,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Cameroon
CMR,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Cameroon
COD,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COD,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Democratic Republic of the Congo
COG,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of the Congo
COG,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of the Congo
COL,2007,Basel,0.0,0.0,,Estimated,America,South America,Republic of Colombia
COL,2012,Basel,0.0,0.0,,Estimated,America,South America,Republic of Colombia
COL,2017,Basel,0.0,0.0,,Estimated,America,South America,Republic of Colombia
COL,2022,Basel,0.0,0.0,,Estimated,America,South America,Republic of Colombia
COM,2007,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2012,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2017,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Union of the Comoros
COM,2022,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Union of the Comoros
CPV,2007,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2012,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2017,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2022,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Cabo Verde
CRI,2007,Basel,0.0,0.0,,Estimated,America,Central America,Republic of Costa Rica
CRI,2012,Basel,0.0,0.0,,Estimated,America,Central America,Republic of Costa Rica
CRI,2017,Basel,0.0,0.0,,Estimated,America,Central America,Republic of Costa Rica
CRI,2022,Basel,0.0,0.0,,Estimated,America,Central America,Republic of Costa Rica
CUB,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Republic of Cuba
CUB,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Republic of Cuba
CUB,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Republic of Cuba
CUB,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Republic of Cuba
CUW,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Country of Curaçao
CUW,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Country of Curaçao
CUW,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Country of Curaçao
CUW,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Country of Curaçao
CYM,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Cayman Islands
CYM,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Cayman Islands
CYM,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Cayman Islands
CYM,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Cayman Islands
CYP,2007,Basel,0.92,92.0,,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2012,Basel,0.92,92.0,,Estimated,Asia,Western Asia,Republic of Cyprus
CYP,2017,Basel,0.92,92.0,,xx,Asia,Western Asia,Republic of Cyprus
CYP,2022,Basel,0.8,80.0,,xx,Asia,Western Asia,Republic of Cyprus
CZE,2007,Basel,1.0,100.0,,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2012,Basel,1.0,100.0,,Estimated,Europe,Eastern Europe,Czech Republic
CZE,2017,Basel,1.0,100.0,,xx,Europe,Eastern Europe,Czech Republic
CZE,2022,Basel,1.0,100.0,,xx,Europe,Eastern Europe,Czech Republic
DEU,2007,Basel,1.0,100.0,,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2012,Basel,1.0,100.0,,Estimated,Europe,Western Europe,Federal Republic of Germany
DEU,2017,Basel,1.0,100.0,,xx,Europe,Western Europe,Federal Republic of Germany
DEU,2022,Basel,1.0,100.0,,xx,Europe,Western Europe,Federal Republic of Germany
DJI,2007,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2012,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2017,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2022,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Republic of Djibouti
DMA,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Commonwealth of Dominica
DNK,2007,Basel,0.92,92.0,,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2012,Basel,0.92,92.0,,Estimated,Europe,Northern Europe,Kingdom of Denmark
DNK,2017,Basel,0.92,92.0,,xx,Europe,Northern Europe,Kingdom of Denmark
DNK,2022,Basel,0.8,80.0,,xx,Europe,Northern Europe,Kingdom of Denmark
DOM,2007,Basel,0.0,0.0,,Estimated,America,Caribbean,Dominican Republic
DOM,2012,Basel,0.0,0.0,,Estimated,America,Caribbean,Dominican Republic
DOM,2017,Basel,0.0,0.0,,Estimated,America,Caribbean,Dominican Republic
DOM,2022,Basel,0.0,0.0,,Estimated,America,Caribbean,Dominican Republic
DZA,2007,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2012,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2017,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2022,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,People's Democratic Republic of Algeria
ECU,2007,Basel,0.0,0.0,,Estimated,America,South America,Republic of Ecuador
ECU,2012,Basel,0.0,0.0,,Estimated,America,South America,Republic of Ecuador
ECU,2017,Basel,0.0,0.0,,Estimated,America,South America,Republic of Ecuador
ECU,2022,Basel,0.0,0.0,,Estimated,America,South America,Republic of Ecuador
EGY,2007,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2012,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2017,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2022,Basel,0.0,0.0,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
ERI,2007,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2012,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2017,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2022,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,State of Eritrea
ESP,2007,Basel,0.6400199999999999,64.002,,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2012,Basel,0.6400199999999999,64.002,,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2017,Basel,0.6400199999999999,64.002,,xx,Europe,Southern Europe,Kingdom of Spain
ESP,2022,Basel,0.6,60.0,,xx,Europe,Southern Europe,Kingdom of Spain
EST,2007,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2012,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2017,Basel,1.0,100.0,,xx,Europe,Northern Europe,Republic of Estonia
EST,2022,Basel,1.0,100.0,,xx,Europe,Northern Europe,Republic of Estonia
ETH,2007,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2012,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2017,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2022,Basel,0.0,0.0,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
FIN,2007,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,Republic of Finland
FIN,2012,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,Republic of Finland
FIN,2017,Basel,1.0,100.0,,xx,Europe,Northern Europe,Republic of Finland
FIN,2022,Basel,1.0,100.0,,xx,Europe,Northern Europe,Republic of Finland
FJI,2007,Basel,0.0,0.0,,Estimated,Oceania,Melanesia,Republic of Fiji
FJI,2012,Basel,0.0,0.0,,Estimated,Oceania,Melanesia,Republic of Fiji
FJI,2017,Basel,0.0,0.0,,Estimated,Oceania,Melanesia,Republic of Fiji
FJI,2022,Basel,0.0,0.0,,Estimated,Oceania,Melanesia,Republic of Fiji
FRA,2007,Basel,0.7,70.0,,Estimated,Europe,Western Europe,French Republic
